price,year,manufacturer,model,condition,cylinders,odometer,transmission,drive,type,lat,long
4000,2002.0,15,353,0,2,155000.0,0,1,5,33.9135,-84.6859
2500,1995.0,0,56,1,4,110661.0,0,2,5,33.3538,-86.8254
5500,2010.0,8,79,2,2,114988.0,0,1,2,33.242977,-86.817334
5950,2008.0,7,85,0,2,190000.0,0,1,5,33.354047,-86.866794
4900,2007.0,16,629,2,2,243730.0,1,1,5,33.243013,-86.817355
3000,2002.0,1,664,0,4,101000.0,0,1,5,33.9135,-84.6859
5500,2007.0,15,1140,0,2,51000.0,1,1,2,33.9135,-84.6859
4800,2004.0,2,136,2,5,226386.0,0,0,4,35.2093,-87.0393
2950,1996.0,5,439,2,4,218822.0,0,2,0,34.8305,-86.5697
2500,2002.0,2,929,3,5,300402.0,0,0,6,36.2306,-86.519448
2900,2007.0,12,111,3,2,176067.0,0,2,5,36.2306,-86.519448
5950,2004.0,7,280,0,4,209166.0,0,1,0,30.668104,-88.126338
4950,1997.0,2,132,0,4,114268.0,0,1,7,30.66744,-88.126423
4000,2005.0,7,795,1,4,215290.0,0,0,0,30.6729,-88.1009
4488,2000.0,12,787,2,4,220000.0,0,2,0,30.520244,-89.647288
800,2006.0,11,12,1,2,1234.0,0,1,5,30.5222,-87.7457
4999,2002.0,15,187,2,2,152212.0,1,1,5,32.3417,-86.3529
5950,2012.0,5,409,2,2,182705.0,0,1,0,32.466732,-86.452214
3500,2005.0,7,85,2,4,140600.0,0,1,5,33.1969,-87.5627
1100,2001.0,3,1042,1,4,90708.0,0,0,3,61.3867,-149.4809
4850,2007.0,7,756,2,4,122100.0,0,1,3,34.727929,-112.015915
587,2018.0,7,225,0,2,50916.0,0,1,2,34.605818,-112.451775
405,2011.0,7,279,0,2,52261.0,0,1,0,34.605818,-112.451775
985,2019.0,4,219,0,5,6222.0,0,2,5,34.605818,-112.451775
1012,2018.0,7,753,0,4,26828.0,0,1,3,34.605818,-112.451775
702,2014.0,7,851,0,4,92420.0,0,0,6,34.605818,-112.451775
537,2017.0,12,702,0,4,60805.0,0,1,5,34.605818,-112.451775
189,2015.0,7,225,0,2,240253.0,0,1,5,34.605818,-112.451775
2900,2006.0,12,732,1,4,230407.0,0,1,0,35.165707,-111.664422
755,2019.0,7,753,0,4,21351.0,0,1,3,34.605818,-112.451775
418,2012.0,12,532,0,4,129020.0,0,2,6,34.605818,-112.451775
5555,1999.0,6,881,0,4,127665.0,0,2,3,35.224419,-114.080744
3995,2011.0,4,145,0,2,154555.0,0,1,5,34.457486,-114.283025
2995,2001.0,15,914,0,4,247616.0,0,1,3,34.457486,-114.283025
2995,2008.0,1,646,0,4,161309.0,0,1,5,34.457486,-114.283025
3995,2005.0,15,187,0,2,164397.0,0,1,5,34.4228,-114.125
810,2017.0,7,795,0,4,47675.0,0,1,0,34.605818,-112.451775
558,2020.0,7,225,0,2,28020.0,0,1,5,34.605818,-112.451775
4995,1998.0,5,450,0,5,236481.0,0,0,4,33.414129,-111.619672
3900,2007.0,5,467,2,5,197000.0,0,0,4,33.436545,-111.926299
3400,2009.0,2,248,2,2,149963.0,0,0,5,33.567749,-112.069587
4500,2010.0,11,12,0,2,128000.0,0,1,5,33.5623,-112.0559
2200,2002.0,5,425,1,5,242000.0,0,2,0,33.6021,-112.3736
3500,1997.0,5,456,2,4,146557.0,0,2,4,33.573428,-112.058646
3975,1999.0,6,640,2,4,118000.0,0,2,0,33.2711,-111.8311
607,2019.0,7,225,0,2,21839.0,0,1,5,34.605818,-112.451775
286,2014.0,4,641,0,2,83781.0,0,1,0,34.605818,-112.451775
436,2013.0,15,139,0,4,55428.0,0,1,5,34.605818,-112.451775
3200,2006.0,6,1103,1,5,200000.0,0,2,7,33.335949,-111.964846
5800,2003.0,9,677,0,4,178000.0,0,0,0,33.53664,-112.341014
5900,2011.0,2,150,0,2,75000.0,0,1,2,33.6061,-112.2797
5200,1994.0,5,833,2,4,169000.0,1,0,6,33.522232,-112.283751
5800,2004.0,15,199,0,2,180000.0,0,1,5,33.4227,-111.9261
486,2014.0,7,279,0,2,39748.0,0,1,0,34.605818,-112.451775
671,2018.0,7,279,0,2,35131.0,0,1,0,34.605818,-112.451775
403,2015.0,9,790,0,2,85683.0,0,0,0,34.605818,-112.451775
1214,2016.0,6,926,0,5,73216.0,0,0,6,34.605818,-112.451775
540,2017.0,7,225,0,2,39787.0,0,1,5,34.605818,-112.451775
540,2019.0,7,599,0,2,21325.0,0,1,0,34.605818,-112.451775
4800,1990.0,15,46,2,4,234000.0,0,0,0,34.544347,-112.472918
